Provincia,Regulares
Buenos Aires,0.335753107527278
CABA,0.51760255994768
Catamarca,0.5568063671889
Chaco,0.195861656831254
Chubut,0.404440849937505
Córdoba,0.309573420916702
Corrientes,0.247111506118821
Entre Ríos,0.312862302171513
Formosa,0.154602627784009
Jujuy,0.495585853276552
La Pampa,0.338471320398451
La Rioja,0.571264548954276
Mendoza,0.376066569625733
Misiones,0.237438788527221
Neuquén,0.354791006488607
Río Negro,0.468676625718855
Salta,0.423123393316195
San Juan,0.417824813131503
San Luis,0.394785790977967
Santa Cruz,0.469856117959491
Santa Fe,0.348564463259154
Santiago del Estero,0.383772277053535
Tierra del Fuego,0.520234536675098
Tucumán,0.41283136790199
